company_name,domain,website,city,state,country,niche
Apex Roofing Co,apexroofing.com,,Denver,CO,USA,Roofing
Blue Sky Legal,,https://www.blueskylegal.com,Austin,TX,USA,Law Firm
Summit HVAC Services,summithvac.net,,Phoenix,AZ,USA,HVAC
Greenfield Property Management,greenfieldpm.com,,Nashville,TN,USA,Property Management
Coastal Auto Repair,coastalauto.com,,San Diego,CA,USA,Auto Repair
Metro Dental Studio,,https://www.metrodental.com,Chicago,IL,USA,Dentistry
Bright Path Marketing,brightpathmarketing.com,,New York,NY,USA,Marketing Agency
River Valley Landscaping,rivervalleylandscaping.com,,Portland,OR,USA,Landscaping
Pacific Ridge Consulting,pacificridgeconsulting.com,,Seattle,WA,USA,Business Consulting
Northgate Accounting,,https://northgateaccounting.co.uk,,,UK,Accounting
